epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9502,0.97556,2.4697,1.21788,0.01667,0.9375,0.15883,0.09368,0.72633,2.81283,1.06942,2e-05,2e-05,2e-05
2,13.7064,0.95227,2.51321,1.2529,0.01667,0.9375,0.22154,0.13761,0.73773,2.81598,1.08273,5.8812e-05,5.8812e-05,5.8812e-05
3,15.7556,0.82213,2.52404,1.17626,0.01778,1,0.32731,0.21216,0.79321,2.81074,1.11166,9.604e-05,9.604e-05,9.604e-05
4,17.0494,0.92368,2.42102,1.16369,0.01778,1,0.45035,0.28046,0.94089,2.80977,1.17406,0.000131684,0.000131684,0.000131684
5,18.4217,0.98973,2.2171,1.29968,0.01778,1,0.48224,0.30513,1.01279,2.82758,1.19781,0.000165744,0.000165744,0.000165744
6,20.6067,0.89882,2.04277,1.17098,0.01778,1,0.49073,0.2982,1.06972,2.82276,1.269,0.00019822,0.00019822,0.00019822
7,23.9001,0.85623,1.82491,1.15337,0.01778,1,0.48408,0.28293,1.10496,2.80543,1.29545,0.000229112,0.000229112,0.000229112
8,25.3732,0.92758,1.81179,1.10791,0.20062,0.5,0.47954,0.26927,1.11684,2.69842,1.33953,0.00025842,0.00025842,0.00025842
9,26.753,0.79202,1.36706,1.13731,0.91174,0.25,0.49434,0.25943,1.09102,2.5852,1.28054,0.000286144,0.000286144,0.000286144
10,27.953,0.77152,1.24435,1.07073,0.96421,0.4375,0.54217,0.28448,1.00368,2.41141,1.19989,0.000312284,0.000312284,0.000312284
11,29.0642,0.78237,1.10653,1.08191,0.85859,0.5,0.56364,0.34982,0.95759,2.30828,1.18658,0.00033684,0.00033684,0.00033684
12,30.4324,0.92309,1.17069,1.13513,0.85859,0.5,0.56364,0.34982,0.95759,2.30828,1.18658,0.000359812,0.000359812,0.000359812
13,31.7415,0.86796,1.25542,1.125,0.85602,0.5,0.64543,0.40417,0.92906,2.15523,1.16146,0.0003812,0.0003812,0.0003812
14,33.0592,0.66151,1.00511,0.99502,0.81421,0.5625,0.7136,0.44291,0.98178,2.06781,1.1429,0.000401004,0.000401004,0.000401004
15,34.4494,0.77538,1.06737,1.04085,0.81421,0.5625,0.7136,0.44291,0.98178,2.06781,1.1429,0.000419224,0.000419224,0.000419224
16,35.8111,0.72029,1.09172,1.06412,0.87687,0.44593,0.81813,0.48579,1.00533,2.05477,1.14509,0.00043586,0.00043586,0.00043586
17,37.1565,0.67361,0.95045,1.00693,0.88142,0.46639,0.78552,0.44383,1.09292,2.21004,1.22959,0.000450912,0.000450912,0.000450912
18,38.2297,0.85377,1.15013,1.14453,0.88142,0.46639,0.78552,0.44383,1.09292,2.21004,1.22959,0.00046438,0.00046438,0.00046438
19,39.3684,0.73614,1.24096,1.10084,0.80685,0.52356,0.74497,0.42544,1.10021,2.21696,1.25095,0.000476264,0.000476264,0.000476264
20,40.5171,0.74474,1.46499,1.20173,0.80685,0.52356,0.74497,0.42544,1.10021,2.21696,1.25095,0.000486564,0.000486564,0.000486564
21,41.6662,0.78101,1.11721,1.07225,0.8066,0.52267,0.67329,0.40977,1.04276,2.22085,1.25278,0.00049528,0.00049528,0.00049528
22,42.7004,0.64492,0.96383,1.01765,0.8066,0.52267,0.67329,0.40977,1.04276,2.22085,1.25278,0.000502412,0.000502412,0.000502412
23,43.811,0.7592,1.04785,1.11899,0.61668,0.50294,0.59566,0.38727,0.99086,2.22826,1.26401,0.00050796,0.00050796,0.00050796
24,44.8948,0.66932,0.99767,1.08358,0.61668,0.50294,0.59566,0.38727,0.99086,2.22826,1.26401,0.000511924,0.000511924,0.000511924
25,45.9942,0.85718,0.98296,1.21377,0.84801,0.5625,0.76862,0.4888,1.00334,2.16129,1.27804,0.000514304,0.000514304,0.000514304
26,47.0546,0.62293,0.98385,1.08003,0.84801,0.5625,0.76862,0.4888,1.00334,2.16129,1.27804,0.0005151,0.0005151,0.0005151
27,48.1325,0.79791,1.09447,1.00241,0.84801,0.5625,0.76862,0.4888,1.00334,2.16129,1.27804,0.000514312,0.000514312,0.000514312
28,49.3779,0.66986,1.04567,1.0735,0.90875,0.62268,0.75339,0.49253,0.95963,2.06002,1.25371,0.00051194,0.00051194,0.00051194
29,50.4599,0.7593,0.94374,1.03608,0.90875,0.62268,0.75339,0.49253,0.95963,2.06002,1.25371,0.000507984,0.000507984,0.000507984
30,51.6101,0.72795,0.94367,1.01845,0.82397,0.58639,0.68425,0.45581,1.00487,1.96607,1.30151,0.000502444,0.000502444,0.000502444
31,52.8995,0.72535,0.88073,0.98982,0.82397,0.58639,0.68425,0.45581,1.00487,1.96607,1.30151,0.00049532,0.00049532,0.00049532
32,54.1134,0.6513,0.84175,0.95173,0.82397,0.58639,0.68425,0.45581,1.00487,1.96607,1.30151,0.000486612,0.000486612,0.000486612
33,55.2555,0.67225,0.88825,1.04724,0.80306,0.5105,0.6509,0.42493,1.06764,1.89079,1.37051,0.00047632,0.00047632,0.00047632
34,56.6914,0.69808,0.85376,1.08561,0.80306,0.5105,0.6509,0.42493,1.06764,1.89079,1.37051,0.000464444,0.000464444,0.000464444
35,58.1805,0.68947,0.86903,1.00245,0.80306,0.5105,0.6509,0.42493,1.06764,1.89079,1.37051,0.000450984,0.000450984,0.000450984
36,59.4789,0.74771,0.8963,1.03205,0.82721,0.5,0.64978,0.45927,1.07036,1.8065,1.32024,0.00043594,0.00043594,0.00043594
37,60.7322,0.58286,0.7994,1.00104,0.82721,0.5,0.64978,0.45927,1.07036,1.8065,1.32024,0.000419312,0.000419312,0.000419312
38,61.9385,0.7195,0.86542,1.07129,0.82721,0.5,0.64978,0.45927,1.07036,1.8065,1.32024,0.0004011,0.0004011,0.0004011
39,63.004,0.64255,0.84621,1.03944,0.83028,0.5625,0.69857,0.46857,0.97916,1.71135,1.25503,0.000381304,0.000381304,0.000381304
40,64.091,0.62194,0.97141,1.04181,0.83028,0.5625,0.69857,0.46857,0.97916,1.71135,1.25503,0.000359924,0.000359924,0.000359924
41,65.7942,0.61203,1.02609,0.94629,0.83028,0.5625,0.69857,0.46857,0.97916,1.71135,1.25503,0.00033696,0.00033696,0.00033696
42,67.0659,0.57117,0.97381,0.93441,0.95039,0.5625,0.78072,0.55712,0.90925,1.44668,1.18927,0.000312412,0.000312412,0.000312412
43,68.5924,0.51256,1.03985,0.9965,0.95039,0.5625,0.78072,0.55712,0.90925,1.44668,1.18927,0.00028628,0.00028628,0.00028628
44,69.9467,0.53078,0.91914,0.93648,0.95039,0.5625,0.78072,0.55712,0.90925,1.44668,1.18927,0.000258564,0.000258564,0.000258564
45,71.4974,0.46638,1.20205,0.86459,0.95039,0.5625,0.78072,0.55712,0.90925,1.44668,1.18927,0.000229264,0.000229264,0.000229264
46,72.7973,0.46631,0.92211,0.88892,0.97924,0.625,0.82292,0.56294,0.94623,1.31338,1.22069,0.00019838,0.00019838,0.00019838
47,74.0516,0.51677,0.86555,0.92175,0.97924,0.625,0.82292,0.56294,0.94623,1.31338,1.22069,0.000165912,0.000165912,0.000165912
48,75.3392,0.49436,0.80717,0.90453,0.97924,0.625,0.82292,0.56294,0.94623,1.31338,1.22069,0.00013186,0.00013186,0.00013186
49,76.6896,0.49144,0.81365,0.9381,0.97924,0.625,0.82292,0.56294,0.94623,1.31338,1.22069,9.6224e-05,9.6224e-05,9.6224e-05
