epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3975,1.60338,2.4483,1.30107,0.42548,0.32337,0.28121,0.14013,1.56109,1.6908,1.21446,0.000254299,0.000254299,0.000254299
2,95.1056,1.50269,1.82486,1.24321,0.44591,0.30668,0.27549,0.13894,1.51742,1.83705,1.24164,0.000508947,0.000508947,0.000508947
3,140.457,1.57939,1.84283,1.25017,0.40558,0.3119,0.26745,0.14564,1.52605,1.59444,1.23044,0.000761904,0.000761904,0.000761904
4,187.141,1.58325,1.79845,1.25649,0.32955,0.36716,0.29516,0.15122,1.53059,1.62167,1.25101,0.000761387,0.000761387,0.000761387
5,233.787,1.57555,1.82779,1.22613,0.63243,0.24713,0.29932,0.15587,1.52395,1.70198,1.21141,0.000758849,0.000758849,0.000758849
6,280.235,1.54118,1.77266,1.24774,0.57449,0.29493,0.30363,0.14011,1.60778,1.55836,1.27835,0.000756312,0.000756312,0.000756312
7,324.965,1.51302,1.78071,1.21492,0.26751,0.34716,0.25791,0.14318,1.48847,1.62458,1.22043,0.000753774,0.000753774,0.000753774
8,370.086,1.52804,1.73601,1.21974,0.52745,0.30498,0.27908,0.14974,1.48951,1.48593,1.18888,0.000751236,0.000751236,0.000751236
9,414.95,1.47002,1.64319,1.17059,0.40533,0.32189,0.27524,0.15242,1.49901,1.48902,1.22119,0.000748698,0.000748698,0.000748698
10,460.179,1.52751,1.72899,1.20652,0.43133,0.33182,0.27998,0.15785,1.5039,1.49844,1.20358,0.000746161,0.000746161,0.000746161
11,505.192,1.43384,1.62996,1.16945,0.76555,0.28594,0.34088,0.18723,1.4357,1.39093,1.18595,0.000743623,0.000743623,0.000743623
12,552.111,1.39261,1.62323,1.1664,0.49643,0.35996,0.31845,0.1711,1.43418,1.44064,1.23037,0.000741085,0.000741085,0.000741085
